118046,256417,1.5
97952,186941,2.5
24379,190149,4.0
12389,134779,2.0
135376,239134,1.5
14183,234779,2.5
100105,191043,3.5
21872,210212,3.5
117660,257995,2.0
108952,177604,5.0
118241,247264,1.5
12142,241139,2.5
121987,258627,2.0
26229,202556,4.5
88572,225199,3.5
11923,240385,3.5
50393,177618,3.0
43113,136113,2.0
13414,253327,2.0
120293,241704,3.5
61948,189586,3.0
130317,160741,4.5
74765,257727,2.0
41138,258489,3.0
24071,248435,4.0
33181,242514,4.0
1018,228101,2.5
110624,242215,3.0
43481,209843,2.5
14044,208004,2.5
108834,236499,3.0
68301,215159,2.5
113240,237385,1.5
30365,198331,2.0
1445,244005,1.5
54285,234172,2.0
6371,236630,1.5
118781,256999,2.0
61882,210667,3.5
86649,176994,3.0
122162,248752,3.0
35254,206219,3.0
130630,258249,3.0
57671,255976,2.5
16051,191032,4.0
111889,234378,2.0
9878,162240,3.5
76201,258668,1.5
81016,246959,3.0
107892,226002,2.0
101295,214977,4.0
14549,230450,4.0
72152,190761,2.0
47629,245237,2.5
37655,178213,3.0
8811,200952,2.0
109189,240099,3.0
110250,245589,3.5
77206,205600,3.5
23942,258494,2.5
74433,192370,3.0
120568,167665,4.0
126841,242058,2.0
68021,247479,2.5
87285,199189,2.5
116199,196934,3.5
76237,230855,3.0
86544,255784,2.0
9788,199304,3.5
76698,202652,5.0
50390,243220,3.0
107916,251036,2.5
107115,244647,2.0
56482,47201,3.5
59832,200962,2.5
110947,205586,3.0
112560,245601,3.5
41197,246203,3.0
13619,204502,2.5
135220,242352,2.5
133660,236046,2.5
11542,203265,2.0
131524,238802,3.0
98657,231073,2.5
55414,196432,2.5
9345,239159,2.5
44801,213280,1.5
87278,205966,2.0
46496,238971,1.5
118998,216158,3.5
135250,246388,3.5
13429,205077,1.5
18775,240119,3.5
126489,246134,2.5
34441,254884,3.0
105013,255764,1.5
95230,252547,2.5
58757,237539,2.0
17892,209781,2.5
83909,233795,4.0
64099,258462,2.0
50397,178509,2.5
90575,242990,1.5
13449,190531,3.0
3327,164835,4.0
86727,255068,1.0
59411,168530,4.5
43626,146748,4.5
4124,182122,2.5
34730,203038,4.0
13694,170597,4.5
115843,158138,4.0
39925,248046,1.5
59355,188545,5.0
45569,169706,3.5
52128,257318,2.0
129063,258039,3.0
96337,226116,3.5
74285,246259,3.0
64880,253080,1.5
55007,201149,2.0
38821,193080,5.0
101922,207984,3.5
113035,231320,3.5
57844,251770,2.0
118652,226103,3.0
25552,210358,1.5
103997,244789,2.0
443,193860,3.5
3356,237678,3.0
87450,243311,2.5
97800,222087,3.0
80919,194794,4.5
90141,247068,3.0
15987,242109,2.5
89281,251243,3.5
85645,236867,3.5
1841,256065,2.0
50153,257180,2.5
110276,248768,3.5
115416,190732,2.0
29845,189511,4.0
101640,223905,4.0
97121,258892,2.0
60881,221269,4.0
38597,251700,2.0
17611,254189,3.0
28517,209997,4.0
50863,254506,3.5
110297,258214,3.5
126934,142822,3.5
24939,256044,3.0
44514,200389,3.5
12625,184176,2.5
60523,193827,3.5
121352,211437,4.0
34012,212509,1.5
36405,201858,4.0
86172,233996,4.0
97624,191848,3.5
75423,197117,2.0
26932,194647,4.0
112471,255500,3.0
111787,158626,5.0
9965,176580,5.0
68861,243238,2.0
40566,255151,2.5
138420,194679,3.0
111246,230225,4.0
24737,256864,1.5
13967,220477,3.0
67444,255425,1.5
122115,146758,2.5
112225,224546,1.5
30366,221600,4.0
19765,220534,2.0
106821,233950,2.5
119747,163155,3.5
88932,226646,2.0
110055,254117,2.5
52651,228152,1.5
2738,186876,4.0
100356,255137,3.0
35085,247872,2.0
33736,178372,5.0
34561,209675,1.5
136103,228266,3.0
8267,251048,2.0
35234,237920,4.0
22082,225983,1.5
89673,221600,2.5
129517,179696,1.5
55786,200458,4.0
96206,207444,2.5
101736,184826,3.0
57715,163261,3.0
126581,237540,2.0
94163,242879,3.5
55068,222870,3.0
78090,197965,2.0
28954,210243,5.0
92925,248377,1.5
133737,221553,3.5
12594,189484,4.5
59820,194794,4.0
120651,253566,1.5
12003,225509,1.5
57346,231413,2.0
60850,242643,4.0
122386,232691,2.5
61771,215820,3.5
106294,226033,4.0
12771,254764,2.5
108962,216266,2.0
8926,252160,3.5
121312,227227,2.0
13112,232136,2.0
61344,194806,2.0
98091,230312,4.0
25606,156221,2.5
64600,255377,3.5
16174,214081,3.5
65510,198023,1.5
58895,211089,2.5
71164,240045,4.0
22653,232693,2.0
18422,257776,2.5
122448,247569,2.5
122222,251470,4.0
109604,230475,2.5
123252,241429,2.0
24779,248007,2.5
48501,244515,3.0
15848,258181,3.0
856,232985,2.0
96080,221756,2.0
116209,219787,3.0
76967,211504,3.5
24296,169181,3.0
88984,223243,2.0
55944,167532,4.0
982,193041,4.5
39156,221696,3.5
76348,245532,3.5
130194,189332,5.0
6765,172879,4.0
21658,194794,4.0
39953,255636,3.5
